BBQ
Luggage Storage
Minibar
Restaurant
Tea/Coffee Making Facilities
Child Friendly
Credit Cards Accepted
Non Smoking
Taxes Included
24 Hour Reception
Air Conditioning
ATM
Bar
Breakfast Included
Business centre
Cable TV
Currency Exchange
Elevator
Fax Service
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Gym
Hairdryers
Hot Tub
Housekeeping
Indoor Swimming Pool
Internet Access
Laundry Facilities
Lounge
Luggage Storage
Meeting Room
Outdoor Swimming Pool
Outdoor Terrace
Parking
Restaurant
Safe Deposit Box
Swimming Pool
Tours/Travel Desk
Wheelchair Accessible
Child Friendly
Credit Cards Accepted
Air Conditioning
Breakfast Not Included
Cable TV
Elevator
Free Internet Access
Free Parking
Free WiFi
Fridge/Freezer
Hairdryers
Internet Access
Iron/Ironing Board
Kitchen
Linen Included
Luggage Storage
Parking
Tea/Coffee Making Facilities
Towels Included
Utensils
Washing machine
Child Friendly
Credit Cards Not Accepted
Non Smoking
Taxes Included
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Currency Exchange
Fax Service
Free City Maps
Hairdryers
Housekeeping
Internet Access
Laundry Facilities
Lounge
Luggage Storage
Meeting Room
Minibar
Outdoor Terrace
Parking
Restaurant
Safe Deposit Box
Tours/Travel Desk
Child Friendly
Taxes Included
24 Hour Reception
Air Conditioning
Breakfast Included
Restaurant
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Direct Dial Telephone
Fax Service
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Meeting Room
Minibar
Restaurant
Safe Deposit Box
Tours/Travel Desk
Wheelchair Accessible
Child Friendly
Credit Cards Accepted
Taxes Included
Breakfast Included
Breakfast Not Included
Cable TV
Free WiFi
Kitchen
Parking
24 Hour Reception
Air Conditioning
Airport Transfers
Bar
Breakfast Not Included
Business centre
Cable TV
Direct Dial Telephone
Elevator
Free Internet Access
Free Parking
Free WiFi
Internet Access
Laundry Facilities
Luggage Storage
Meeting Room
Minibar
Restaurant
Safe Deposit Box
Tours/Travel Desk
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Currency Exchange
Elevator
Fax Service
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Housekeeping
Internet Access
Laundry Facilities
Lounge
Luggage Storage
Minibar
Outdoor Terrace
Parking
